标题,总播放量,积累弹幕,时间,点赞,投币,收藏,转发,作者,关注量
我才不是AI呢！！！,414245,351,2023/5/2 16:22,2.4万,1097,3578,314,白醋少女, 163.2万
五一假期北京旅游现状,270497,495,2023/5/3 9:00,2.9万,2455,1529,960,路飞没有路不会飞, 28.4万
谁喜欢克拉拉(史瓦罗)我不说,1534482,1221,2023/4/30 16:00,23.6万,2.4万,5.1万,1.3万,害羞7, 101.0万
七分帅，三分可爱，九十分屑,827000,398,2023/4/30 9:00,8.9万,1.6万,5.0万,4480,CicloO, 1.4万
华晨宇唱了几句《杀死那个石家庄人》“不能再唱了，超过四句要给版权”,817423,1279,2023/4/30 16:56,2.4万,3678,6272,3023,大树的per鼠,1583
排队2小时人均不过百的海鲜火锅？招牌醉鸡煲酒香扑鼻鲜掉牙了【凭啥排长队ep06- 威皇广福和小海鲜】,530728,2543,2023/5/3 11:05,6.8万,3.0万,6639,2921,王师傅和小毛毛, 171.2万
"李彩演的Knock, 超级有效challenge",3105157,774,2023/5/1 12:55,28.8万,2.4万,2.7万,5362,anita虾米米, 4.8万
不懂就问，这就是现在的顶流爱豆吗？,1389373,8602,2023/5/2 10:46,9.7万,7673,4548,1.2万,三代鹿人, 621.7万
救命啊我拍到了什么……,443425,223,2023/5/2 18:50,6.5万,1655,7168,881,夏弃疾下乡版, 54.6万
“这个年代的动漫真的能让人热泪盈眶！！”,710733,4702,2023/4/30 10:43,7.4万,3.7万,4.0万,2773,-柠萌菌-, 106.8万
广州港式自助，菜量堪比，给仨战士吃撑了,891245,1800,2023/5/2 11:30,7.7万,1893,2633,1913,吃不饱仨战士, 180.3万
花1000万买车，超跑品牌会怎样招待我？带你看别人看不到的！,935666,3971,2023/5/2 18:00,5.1万,1.8万,5086,2332,飞飞的车COOL, 45.4万
给高中的领导们一点小小的二次元galaxy震撼！五名女高校庆怒跳绝非虚构Nonfiction!!&星光序言Starlight Prologue,596876,463,2023/5/1 11:00,3.8万,6618,9438,2410,凉苏君,多名up主参与
爆肝统计！海绵宝宝一共做了多少蟹黄堡？,2019541,901,2023/4/28 19:00,12.1万,3.1万,4.1万,507,粗中有细的计数板, 18.8万
好色小橘猫，喜欢爬小姐姐的大腿,320545,310,2023/5/2 13:35,2.8万,824,3754,1124,焦糖学姐, 28.5万
俩帅小伙挑战世界最辣泡面，结果翻车了？,599493,1333,2023/5/3 11:50,6.4万,6425,2648,346,贤宝宝Baby, 565.3万
?我 爸 就 是 力 霸 天?,2065272,3510,2023/4/29 20:43,13.2万,3.4万,6.3万,2.2万,AG自由鸣, 2.4万
这个B学真是一天都不想上了,1135879,179,2023/5/1 13:46,11.5万,6266,4.7万,2.4万,玉玄铮, 1.5万
躲狗狗,4005669,21813,2023/5/1 12:00,45.3万,19.1万,9.0万,8069,小潮院长, 1021.4万
二刷许昌&胖东来！你们将会被他们的真诚而感动！,2026188,6958,2023/4/30 12:00,27.6万,2.9万,1.6万,1.5万,superB太, 109.4万
跪着刷完！13家全国最强博物馆，审美暴击！,213133,1297,2023/5/3 10:15,1.9万,1.6万,6691,1818,破产兄弟BrokeBros, 173.9万
亲情变质,1056206,674,2023/4/30 11:59,14.3万,7562,4.4万,4047,烦恼死的夏洛, 29.8万
?崩坏星穹铁道1.0玩家现状?,577982,2502,2023/4/30 17:22,6.6万,1.3万,6572,491,上善若水99_, 1.1万
黑子看了会心动吗？?,425694,907,2023/5/2 11:05,4.2万,7104,7203,645,矮乐多Aliga, 135.6万
今儿去淄博吃一顿正宗的淄博烧烤！看看和美式烧烤有什么不同！,874812,1392,2023/5/2 12:00,11.3万,2733,4371,1507,是个泡泡_Pao, 212.9万
你真的要和我讲罗德岛的条条框框吗，博士。【明日方舟嘉年华霍尔海雅cos】,204976,65,2023/5/2 13:32,4.4万,4539,1.3万,2595,w百合子w, 7.4万
五湖四海的人吃折耳根的反应！,973651,967,2023/4/29 22:54,14.3万,4817,1.2万,1361,王瀚哲_, 89.2万
如果猫哥家人知道他在外面欠这么多，会不会上门来闹事,192881,45,2023/5/1 23:34,2.2万,6631,666,37,想办法秋后算账丨,5627
小妹学了动画两年半，做出的“黑猫警长”差点将老师送进急救室！！,152639,379,2023/5/2 13:33,2.2万,7149,8413,1078,栗绘米猫酱,5806
妈妈 我的肚肚都要甩飞啦,269652,94,2023/5/2 17:57,1.9万,995,3036,6631,虎爸的养猫记, 1.5万
看完4月新番，外星人连夜毁灭地球......【泛式】,2092214,12980,2023/4/29 20:07,28.3万,20.7万,6.6万,1.6万,泛式, 528.0万
天下终将属于我们兔兔族,203520,69,2023/5/2 19:25,4.1万,980,4469,373,秋陌_Cheyenne, 49.0万
“你指尖跃动的电光，是我此生不变的信仰”,341564,632,2023/5/2 11:00,3.3万,1.0万,5666,512,韩小沐, 67.3万
迈 克 尔 · 杰 裤 逊,1109002,710,2023/4/26 19:16,3.0万,2430,5002,2983,树深时见鹿dear, 67.2万
想做说唱领袖,2265203,4531,2023/4/28 12:59,14.2万,6703,1.6万,1.5万,榴莲阿呀, 37.1万
【缪尔赛思实测】战术家之光！强强联合如虎添翼！全技能专三实战评测！,348442,4362,2023/5/3 3:01,3.1万,1.5万,4174,1342,霖也玉子, 17.8万
正方形刷野世界纪录：2.32秒瞬杀4个buff！打出理论极限的最终奥秘！！,1979119,9747,2023/5/1 23:42,13.8万,8.3万,2.1万,1.5万,布锅锅, 154.4万
我   爱   上   班,79920,253,2023/5/3 14:00,9996,5409,2766,1253,小缘, 127.1万
老 二 次 元 现 状,627629,4241,2023/5/2 18:00,4.5万,1.0万,6881,5675,进击的金厂长, 366.7万
他们说，现在是新四大天王的天下了……,699556,398,2023/5/1 23:47,9.7万,6769,5428,1563,汤姆的混乱空间, 95.1万
带你们听听我的青春,382762,233,2023/5/2 19:34,4.8万,593,1199,229,Thurman猫一杯, 319.7万
【定格动画】用十种方式还原蔡徐坤打篮球！,741299,607,2023/5/1 12:05,14.0万,4.0万,2.4万,2979,咖喱芋圆儿花开富贵儿, 17.2万
去而复来,2160049,1978,2023/5/2 20:11,22.0万,2.5万,8334,5065,文武俩兄弟, 176.2万
探秘美国最老的麦当劳！！70年前的麦门，吃些什么？,1290790,5737,2023/4/30 17:00,14.3万,2.6万,1.1万,1504,Meetfood觅食, 257.2万
耗时20天，在现实里1：1还原我的世界？,615449,3544,2023/5/2 11:45,8.1万,4.5万,1.4万,711,一只大哈鱼, 144.3万
你指尖跃动的电光，是我此生不变的信仰！御坂美琴cos,176515,49,2023/5/2 15:05,2.2万,1595,4580,367,菌儿rikushi,多名up主参与
?孝 子 驾 到?,558438,1357,2023/5/2 17:11,4.5万,5882,2.1万,2899,萝卜不会整活, 3.7万
把冠军留在中国！与小日子过得不错的日本选手比赛吃拉面！能获胜吗？,792664,7889,2023/5/2 17:56,5.4万,1.7万,2594,1945,橙飞一下, 86.7万
因为觉得很可爱所以就尝试剪了,180936,64,2023/5/3 1:04,1.8万,2060,2486,788,白杨XD,8542
12年帕拉梅拉4.8 四驱,3180327,992,2023/4/29 10:26,15.1万,3169,1.6万,3.1万,哈尔滨鹏哥说车, 6.8万
来自中国的西游记更适合中国宝宝的狂气|长啸满云风行天地中 英雄叱咤意气狂又勇|中文填词全曲精细和声翻唱孙悟空SUPER,170225,603,2023/4/29 20:39,2.8万,1.5万,8980,2096,九根木头是木九,6496
很流浪汉地唱了なんでもないや没什么大不了！,116125,74,2023/4/30 17:56,5.1万,3810,1.3万,464,Bonnieボニー,8209
